Keyword,Execution Time (s),Number of Books Returned
Sargon,1.6689300537109375e-05,22
Lewis,7.295608520507812e-05,328
babylon,5.817413330078125e-05,329
network,0.0002789497375488281,1664
king,0.00020694732666015625,1414
