Query,Execution Time (s),"Number of Books Returned, Number of suggestions"
Sargon,3.218650817871094e-05,22,100
Lewis,0.0001049041748046875,328,100
babylon,9.608268737792969e-05,329,100
network,0.07033801078796387,1664,0
king,0.00037980079650878906,1414,100
