Keyword,Execution Time (s),Number of Books Returned
Sargon,3.0994415283203125e-05,22
Lewis,7.796287536621094e-05,328
babylon,5.7220458984375e-05,329
network,0.00026702880859375,1664
king,0.000202178955078125,1414
